W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	SxSx nb	4	0.99979618	6.20766724e-03	-0.1729362371	-0.1715447854	-1.391452e-03	8.046039e-03	4.044037	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	SxSx nb	4	0.99999992	8.33839824e-05	-0.1729362371	-0.1729309110	-5.326040e-06	3.079771e-05	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	SxSx nb	4	0.99999994	9.52168237e-06	-0.1729362371	-0.1729367035	4.664287e-07	2.697114e-06	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	SxSx nb	4	1.00000000	3.08210095e-08	-0.1729362371	-0.1729362361	-9.918188e-10	5.735170e-09	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	SxSx nb	4	1.00000000	1.22162224e-09	-0.1729362371	-0.1729362370	-3.060482e-11	1.769717e-10	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	SxSx nb	4	1.00000000	3.78976330e-13	-0.1729362371	-0.1729362371	-6.494805e-15	3.755607e-14	4.044834	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	SxSx nb	4	0.45161799	6.72550951e-01	-0.1729362371	-0.0033764689	-1.695598e-01	9.804756e-01	1.029980	4.044834
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	DoubleOcc	2	0.96437283	3.56271679e-02	0.0178135840	0.0000000000	1.781358e-02	1.000000e+00	1.000000	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	DoubleOcc	2	0.99789594	1.50328001e-02	0.0178135840	0.0102971839	7.516400e-03	4.219477e-01	1.023076	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	DoubleOcc	2	0.99999824	4.90210060e-04	0.0178135840	0.0175684789	2.451050e-04	1.375945e-02	1.028210	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	DoubleOcc	2	1.00000000	3.70346653e-06	0.0178135840	0.0178117322	1.851733e-06	1.039506e-04	1.028216	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	DoubleOcc	2	1.00000000	1.78274044e-06	0.0178135840	0.0178126926	8.913702e-07	5.003879e-05	1.028216	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	DoubleOcc	2	1.00000000	3.17437358e-09	0.0178135840	0.0178135824	1.587187e-09	8.909980e-08	1.028216	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	DoubleOcc	2	1.00000000	5.22876013e-12	0.0178135840	0.0178135840	2.614006e-12	1.467423e-10	1.028216	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	DoubleOcc	2	1.00000000	4.08180434e-15	0.0178135840	0.0178135840	4.406198e-16	2.473504e-14	1.028216	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	DoubleOcc	2	0.52638759	4.90424156e-01	0.0178135840	0.0135996347	4.213949e-03	2.365582e-01	1.026595	1.028216
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	n	2	0.96437283	3.56271679e-02	1.0000000000	1.0000000000	-1.776357e-15	1.776357e-15	200159983438562208.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	n	2	0.99789594	1.50328001e-02	1.0000000000	1.0000000000	-1.776357e-15	1.776357e-15	200159983438562208.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	n	2	0.99999824	4.90210060e-04	1.0000000000	1.0000000000	-8.881784e-16	8.881784e-16	200159983438657024.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	n	2	1.00000000	3.70346653e-06	1.0000000000	1.0000000000	-1.110223e-15	1.110223e-15	200159983438639232.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	n	2	1.00000000	1.78274044e-06	1.0000000000	1.0000000000	9.992007e-16	9.992007e-16	200159983438648640.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	n	2	1.00000000	3.17437358e-09	1.0000000000	1.0000000000	-1.110223e-15	1.110223e-15	200159983438639232.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	n	2	1.00000000	5.22876013e-12	1.0000000000	1.0000000000	-1.110223e-15	1.110223e-15	200159983438639232.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	n	2	1.00000000	4.08180434e-15	1.0000000000	1.0000000000	-4.440892e-16	4.440892e-16	200159983438680736.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	n	2	0.52638759	4.90424156e-01	1.0000000000	1.0000000000	-9.992007e-15	9.992007e-15	200159983434688640.000000	200159983438688640.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi2	4.2176205781e-01	Sz	2	0.96437283	3.56271679e-02	-0.0000000000	-0.0000000000	9.651140e-13	6.406956e-01	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi4	8.8021136507e-01	Sz	2	0.99789594	1.50328001e-02	-0.0000000000	-0.0000000000	1.169808e-13	7.765830e-02	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi8	9.9070426576e-01	Sz	2	0.99999824	4.90210060e-04	-0.0000000000	-0.0000000000	1.281902e-14	8.509965e-03	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi16	9.9994867598e-01	Sz	2	1.00000000	3.70346653e-06	-0.0000000000	-0.0000000000	1.100073e-15	7.302887e-04	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi32	9.9999461516e-01	Sz	2	1.00000000	1.78274044e-06	-0.0000000000	-0.0000000000	5.966059e-16	3.960597e-04	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi64	9.9999999410e-01	Sz	2	1.00000000	3.17437358e-09	-0.0000000000	-0.0000000000	2.874005e-15	1.907922e-03	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi128	9.9999999999e-01	Sz	2	1.00000000	5.22876013e-12	-0.0000000000	-0.0000000000	2.790107e-15	1.852226e-03	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	chi256	1.0000000000e+00	Sz	2	1.00000000	4.08180434e-15	-0.0000000000	-0.0000000000	3.864271e-15	2.565315e-03	1.000000	1.000000
1	14	14	cylinder	true	12.0	-3.0121565258	-3.020e-14	UHF	4.6950123670e-02	Sz	2	0.52638759	4.90424156e-01	-0.0000000000	-0.4862102070	4.862102e-01	3.227730e+11	0.045427	1.000000
